Draw,Date,Winning Number 1,2,3,4,5,Lucky Star 1,2,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize,Division 9 Winners,Division 9 Prize,Division 10 Winners,Division 10 Prize,Division 11 Winners,Division 11 Prize,Division 12 Winners,Division 12 Prize,Division 13 Winners,Division 13 Prize
1847,2025-06-03,12,15,38,47,48,5,7,,2,3,2,3,0,2,0,1,2,0,0.00,6,212330.10,9,33083.30,77,1204.40,1180,144.70,3348,53.90,2562,49.50,52778,12.00,57834,12.20,120208,10.90,294124,5.40,881610,5.70,1826079,4.40
1846,2025-05-30,4,7,14,33,36,1,5,,3,2,2,3,2,1,0,2,0,0,0.00,10,126179.90,18,16383.50,59,1556.80,1313,128.80,3138,57.00,3336,37.60,44407,14.10,66133,10.50,157111,8.30,226299,6.90,932814,5.30,2129110,3.70
1845,2025-05-27,12,30,38,40,41,4,12,,1,4,1,4,0,1,1,2,1,0,0.00,2,486735.00,10,22751.60,42,1687.20,891,146.50,1815,76.00,1987,48.80,27160,17.80,40249,13.40,94907,10.60,147631,8.20,601177,6.30,1451448,4.20
1844,2025-05-23,10,29,43,46,49,7,12,29,1,4,3,2,1,0,1,0,3,0,0.00,4,270867.00,10,25322.40,43,1834.20,882,164.70,1925,79.70,2151,50.10,29802,18.10,43716,13.70,97583,11.40,167141,8.10,673673,6.30,1527587,4.50
1843,2025-05-20,1,8,13,29,47,5,6,,3,2,4,1,2,1,1,0,1,0,0.00,1,839110.40,7,28016.20,49,1246.60,1034,108.80,2060,57.70,2154,38.80,28703,14.50,45087,10.30,96677,8.90,148864,7.00,644453,5.10,1352916,3.90
1842,2025-05-16,6,9,25,37,46,6,12,9,3,2,3,2,2,0,1,1,1,0,0.00,5,199795.20,7,33353.80,50,1454.40,1074,124.70,2132,66.40,2348,42.30,30789,16.10,44698,12.40,106981,9.60,160167,7.80,656758,6.00,1578227,4.00
1841,2025-05-13,9,19,44,47,50,2,9,47,2,3,3,2,1,1,0,0,3,0,0.00,2,382845.10,4,44738.60,48,1161.20,760,135.10,2167,50.00,1643,46.40,29645,12.80,46202,9.20,81295,9.70,156013,6.10,558850,5.40,1142108,4.20
1840,2025-05-09,15,18,25,29,47,5,9,47,3,2,4,1,0,2,2,0,1,0,0.00,6,153430.49,6,35859.23,69,971.24,1070,115.37,3254,40.11,2190,41.87,43669,10.50,49730,10.28,100159,9.51,219063,5.27,704694,5.16,1430207,4.09
1839,2025-05-06,8,23,24,47,48,4,9,,3,2,2,3,1,0,2,0,2,0,0.00,3,226674.40,7,22704.60,34,1455.90,590,154.50,1803,53.40,1386,48.80,28867,11.70,30711,12.30,68538,10.20,156396,5.40,476415,5.60,1050239,4.10
1838,2025-05-02,3,5,19,21,49,1,10,,4,1,5,0,2,1,1,0,1,0,0.00,4,209233.30,8,24450.60,42,1450.60,1050,106.80,1847,64.20,2832,29.40,25353,16.40,43044,10.80,116371,7.40,127471,8.20,591292,5.50,1576485,3.30
1837,2025-04-29,2,9,24,30,41,1,11,41,3,2,2,3,2,0,2,0,1,0,0.00,0,0.00,11,65420.20,32,1326.90,605,129.20,1156,71.50,1502,38.60,16848,17.20,25854,12.50,67339,8.90,89036,8.20,373985,6.10,972679,3.80
1836,2025-04-25,13,22,32,39,41,1,12,,2,3,3,2,0,1,1,2,1,0,0.00,5,148333.50,5,34667.90,41,1316.80,696,142.80,1345,78.10,2202,33.50,20366,18.10,29462,13.90,85992,8.90,111027,8.30,426810,6.80,1213128,3.80
1835,2025-04-22,7,28,33,37,47,9,12,,1,4,4,1,1,0,1,2,1,0,0.00,0,0.00,4,161263.00,28,1359.30,498,140.70,947,78.20,1250,41.60,13963,18.60,24882,11.60,62197,8.60,74011,8.80,342032,6.00,848025,3.90
1834,2025-04-18,20,27,35,39,48,3,8,,1,4,3,2,0,1,1,2,1,0,0.00,5,134387.60,6,26173.80,44,1111.70,694,129.80,1760,54.10,1397,47.90,26824,12.40,30751,12.10,63633,10.90,148487,5.60,452131,5.80,941740,4.50
1833,2025-04-15,3,31,33,38,44,6,12,,1,4,3,2,1,0,0,3,1,0,0.00,0,0.00,5,127814.00,23,1639.50,415,167.30,825,89.00,1042,49.50,14405,17.90,20484,14.00,52563,10.10,77515,8.30,314277,6.50,807850,4.00
1832,2025-04-11,14,28,34,46,49,3,8,"14,49",1,4,1,4,0,1,1,1,2,0,0.00,4,165122.30,6,25727.80,34,1414.10,621,142.60,1706,54.80,1336,49.20,25904,12.60,28376,12.90,59927,11.40,145952,5.60,438492,5.90,914696,4.50
1831,2025-04-08,3,14,15,48,49,1,7,,3,2,3,2,1,2,0,0,2,0,0.00,4,121704.90,4,28444.40,26,1363.00,468,139.40,1091,63.20,858,56.50,17230,14.00,21045,12.80,45047,11.10,96020,6.30,336626,5.70,716092,4.30
1830,2025-04-04,27,39,41,45,50,5,7,,0,5,4,1,0,0,1,1,3,1,30117535.00,1,684735.20,5,32006.70,28,1780.20,597,153.80,1751,55.40,1386,49.20,27314,12.40,29436,12.90,60328,11.70,165425,5.10,444405,6.00,886742,4.90
1829,2025-04-01,9,24,30,46,49,4,12,30,2,3,2,3,1,0,2,0,2,0,0.00,2,266728.50,9,13853.00,9,4314.80,393,182.00,921,82.10,998,53.20,14128,18.80,21031,14.00,51822,10.60,77262,8.60,320432,6.50,810737,4.10
1828,2025-03-28,10,21,30,42,45,1,9,,2,3,2,3,1,0,2,0,2,1,250000000.00,9,338645.84,24,18585.69,116,1197.72,2040,125.46,4599,58.83,4772,39.84,64252,14.80,88580,11.97,210303,9.39,338662,7.06,1300647,5.79,3111406,3.90
1827,2025-03-25,1,3,18,33,36,2,6,18,3,2,3,2,2,1,0,2,0,0,0.00,2,616553.40,8,36024.60,69,1300.90,1334,123.90,3076,56.80,2774,44.20,46584,13.10,59429,11.50,132501,9.60,247081,6.20,876893,5.50,1942643,4.00
1826,2025-03-21,9,17,18,21,50,5,12,"9,50",4,1,3,2,1,2,1,0,1,0,0.00,4,330212.80,17,18159.10,72,1335.40,1407,125.80,2983,62.70,3328,39.50,41905,15.60,69007,10.60,161655,8.40,214175,7.70,977456,5.30,2319001,3.60
1825,2025-03-18,4,9,35,46,50,8,11,35,2,3,2,3,2,0,0,1,2,0,0.00,3,332090.30,6,38807.40,33,2197.70,848,157.50,1879,75.10,1793,55.30,28656,17.30,39406,14.00,91297,11.20,160779,7.70,620751,6.30,1447963,4.30
1824,2025-03-14,8,10,33,35,49,2,9,,2,3,3,2,2,0,0,2,1,0,0.00,3,387524.60,8,33964.00,55,1538.70,1126,138.40,2642,62.30,2540,45.50,41736,13.80,52637,12.20,114586,10.40,232010,6.20,806481,5.60,1755386,4.20
1823,2025-03-11,13,36,37,42,47,7,11,,1,4,3,2,0,1,0,2,2,0,0.00,3,302199.80,10,21188.70,37,1783.70,800,151.90,2056,62.50,1679,53.70,30755,14.60,39147,12.80,82665,11.30,167267,6.70,596277,6.00,1269940,4.50
1822,2025-03-07,6,10,27,32,48,3,8,,2,3,1,4,2,0,1,1,1,0,0.00,3,429799.40,12,25112.80,89,1054.60,1507,114.70,3784,48.30,3081,41.60,53706,11.90,64892,11.00,136202,9.70,286792,5.60,946610,5.30,1986190,4.10
1821,2025-03-04,15,20,29,35,42,2,9,,2,3,3,2,0,2,1,1,1,0,0.00,7,68564.80,5,22434.60,28,1247.80,530,121.40,1221,55.70,1141,41.90,18059,13.20,22979,11.60,48863,10.10,96708,6.20,344094,5.50,724716,4.20
1820,2025-02-28,7,16,31,43,46,5,9,,2,3,3,2,1,1,0,1,2,1,52448674.00,2,353112.60,8,20632.00,35,1468.80,702,134.90,1975,50.60,1485,47.30,29005,12.10,33630,11.60,69321,10.50,161746,5.40,490638,5.60,1023433,4.30
1819,2025-02-25,17,22,23,24,44,6,11,,4,1,2,3,0,1,3,0,1,0,0.00,3,167896.00,6,19620.00,22,1666.60,544,124.10,1169,61.00,1374,36.50,17726,14.10,27761,10.00,69403,7.50,88397,7.10,373133,5.30,929020,3.40
1818,2025-02-21,1,3,11,20,43,2,11,,4,1,4,1,2,2,0,0,1,0,0.00,3,213502.40,10,14969.70,32,1457.00,745,115.20,1584,57.30,1752,36.40,21878,14.50,33261,10.60,77813,8.50,113178,7.00,461955,5.40,1088811,3.70
1817,2025-02-18,5,14,25,26,40,5,7,14,3,2,2,3,1,1,2,1,0,0,0.00,1,469895.30,4,27455.50,38,900.10,596,105.70,2036,32.70,1171,39.90,28069,8.30,27683,9.40,50884,9.50,133047,4.40,392145,4.70,720876,4.10
1816,2025-02-14,4,14,31,36,38,3,10,36,2,3,1,4,1,1,0,3,0,1,78450739.00,2,442087.50,5,41329.20,45,1430.30,770,153.90,1735,72.20,1803,48.80,28237,15.50,36861,13.30,84809,10.70,158678,6.90,572136,6.00,1322764,4.20
1815,2025-02-11,3,21,36,41,46,1,6,,2,3,3,2,1,0,1,1,2,0,0.00,5,113658.30,4,33204.70,30,1378.90,519,146.80,1056,76.20,1087,52.00,16549,17.10,21756,14.50,51207,11.40,94596,7.50,343915,6.50,805259,4.40
